A mí no me hablen de tango,,T0370495354,Juan José Paz,José María Contursi
A mí no me interesa,tango,T0370108750,Marcos Larrosa,Alfredo Defilpo
A mi padre,vals,T0370360012,Héctor Marcó,Héctor Marcó
A mi país,tango,T0372451416,Reynaldo Martín,Roberto Díaz
A mi patria,tango,Z0999917792,Udelino Toranzo,-
A mi piano,,T0373114421,Paco Berón,-
A mi Pochocha,tango,Z0999917421,Alberto López Buchardo,-
A mi primera novia,vals,T0370108830,Vicente Fiorentino,Francisco García Jiménez
A mí que me importa,tango,T0370001129,Francisco Lomuto,Manuel Romero
A mi vieja,tango,T0464041824,Juan Muncho,Juan Muncho
A mi vieja,tango,Z0999918483,,
A mi viejo,,T0371138532,Miguel Nijensohn,Julián Centeya
A mi viejo Buenos Aires,tango,T0370682226,Tito Francia,
A mi viejo querido,tango,Z0999913107,Raúl J. Montero,Nelson Pilosof
A mi violín corneta,tango,T0371332636,Julio De Caro,
A mi zaino,tango,Z0000025018,Domingo Santa Cruz,-
A Miguel Luis Piedrabuena,,T0371687998,Sebastián Piana,
A mil pies de altura,,T0371014297,Luis César Amadori,
A miña nai,,T0370378338,"Alberto Castillo, Jorge Dragone",
A mis amores,tango,T0370296813,Armando Pontier,-
A mis compañeros,tango,T0370378372,Osvaldo Ruggiero,-
A mis manos,milonga,T0370353175,Alfredo J. Gobbi,Julio Camilloni
A mis pagos voy,tango campero,T0370529762,Luis Savastano,Eduardo Mirto Pedrotta
A mis viejos,tango,T0370594561,Osvaldo Berlingieri,-
A Mitre,vals,Z0999901480,Carlos Gardel,
A Montevideo,tango,Z0999901619,Roberto Firpo,
A Montmartre,tango,T0370108885,Enrique Delfino,José González Castillo (Juan de León)
"A moverse, chicos!",,T0373124754,,Carlos Lucero
A może przyjdziesz dzisiaj do mnie?,tango,Z0999905004,Zygmunt Wiehler,Wiktor Krupiński
A mucha honra,tango,T0370635656,Américo O. Pinella,Ernesto Cardenal
A mucha honra!,poema lunfardo,Z0999912637,,
A mucha honra!,poema lunfardo,Z0999990030,,
A Natalio Pescia,tango,T0370304485,"Roberto Caló, Enrique Campos",Jorge Moreira
A noche a las dos,tango,Z0999990031,,
A Norberto Accoroni,poema lunfardo,Z0999913646,,
A Norberto Accoroni,poema lunfardo,Z0999990032,,
A Norma,,T0370475629,Ángel F. Condercuri,
A obscuras,tango,T0370111684,Antonio Sureda,Gerónimo Sureda
A orillas del Nilo,shimmy,T0370001538,Mauricio Mignot,Armando Tagini
A orillas del Paraná,vals,Z0999917627,,-
A orillas del rio miño,fado,Z0999901957,,
A Orlando Goñi,,Z0999990033,Alfredo J. Gobbi,
A oscuras,tango,T0370170958,Ascanio Donato,Héctor Marcó
A Osvaldo Avena,canción,T0373310576,Sacri Delfino,Héctor Negro
"A otra cosa, che pebeta",tango,T0370194390,Ricardo Tanturi,Enrique Cadícamo
A Pablo Neruda,,Z0999918283,Osvaldo Requena,
A pan y agua,tango,T0370111753,Juan Carlos Cobián,Enrique Cadícamo
A Pascual Contursi,tango,T0370296915,Dante Puricelli,
