Trio Iriarte-Pages-Pesoa ; Instrumental,,
Brodman-Alfaro ; Luis Scalon,Orquesta Típica Brodman-Alfaro,Luis Scalón
Juan Sanchez Gorio ; Instrumental,Juan Sánchez Gorio,-
Juan D'Arienzo ; Raquel Notar,Juan D'Arienzo,Raquel Notar
Francisco Lomuto ; Principe Azul,Francisco Lomuto,Príncipe Azul
"Julio Arregui ; Ivonne, Felix Romero",,
"Domingo Federico ; Ruben Maciel, Rubén Sánchez",Domingo Federico,"Rubén Maciel, Rubén Sánchez"
"Eduardo Bianco ; Manuel Bianco, Hector Pettorossi",Eduardo Bianco,Horacio Pettorossi
Enrique Alessio ; Alberto Castillo,Enrique Carmelo Alessio,Alberto Castillo
Rodolfo Biagi ; Teófilo Ibañez,Rodolfo Biagi,Teofilo Ibañez
Cuarteto Victor ; Instrumental,Cuarteto Victor de la Guardia Vieja,
Unknown ; Argentino Ledesma,,Argentino Ledesma
Orquesta Tipica Argentina ; Roberto Maida,,Roberto Maida
"Jose Garcia ; Alfredo Rojas, Nilda Wilson",José García,"Alfredo Rojas, Nilda Wilson"
Julio Pollero ; Antonio Buglione,Julio Pollero,Antonio Buglione
Alfredo Gobbi ; Jorge Maciel,Alfredo J. Gobbi,Jorge Maciel
Juan Félix Maglio ; José E. Galarza,Juan Félix Maglio,José E. Galarza
Ricardo Luis Brignolo ; Agustin Magaldi,Ricardo Luis Brignolo,
"Francisco Canaro ; Ernesto Fama, Francisco Amor",Francisco Canaro,"Ernesto Famá, Francisco Amor"
Alberto Soifer ; Instrumental,Alberto Soifer,-
Cuarteto Victor De La Guardia Vieja ; Instrumental,Cuarteto Victor de la Guardia Vieja,-
Astor Piazzolla ; Aldo Campoamor,Astor Piazzolla,Aldo Campoamor
Barnabás Von Géczy ; Instrumental,Barnabás von Géczy,
Edgardo Donato ; Carlos Almada,Edgardo Donato,Carlos Almada
Bajofondo Tango Club ; Gustavo Cerati,,
"Hector Varela ; Argentino Ledesma, Rodolfo Lesica",Héctor Varela,"Argentino Ledesma, Rodolfo Lesica"
Osvaldo Fresedo ; Pilar Arcos,Osvaldo Fresedo,Pilar Arcos
Carlos Di Sarli ; Roberto Rufino,Carlos Di Sarli,Roberto Rufino
Orquesta Típica Víctor ; Francisco Fiorentino,Orquesta Típica Víctor,Francisco Fiorentino
Eduardo Del Piano ; Ángel Vargas,Eduardo Del Piano,Ángel Vargas
Salvador Pizarro ; Choir,Salvador Pizarro,
Juan Carlos Caviello ; Instrumental,Juan Carlos Caviello,
Osváldo Fresedo ; Hugo Marcel,Osvaldo Fresedo,Hugo Marcel
Orquesta Tipica Victor ; Instrumental,Orquesta Típica Víctor,-
Antonio Rodio ; Instrumental,Antonio Rodio,-
Julio De Caro ; Fanny Navarro,Julio De Caro,Fanny Navarro
Unknown ; Ana Maria Pugliese,,
Federico Mizrahi ; Susana Rinaldi,,Susana Rinaldi
Unknown ; Edmundo Rivero,,Edmundo Rivero
Juan D'Arienzo ; Alberto Echagüe,Juan D'Arienzo,Alberto Echagüe
Orquesta Típica Fervor De Buenos Aires ; Unknown,Orquesta Típica Fervor de Buenos Aires,
Osvaldo Fresedo ; Instrumental,Osvaldo Fresedo,-
Carlos Marcucci ; Roberto Abrodos,Carlos Marcucci,Roberto Abrodos
"Aníbal Troilo ; Aldo Calderón, Edmundo Rivero",Aníbal Troilo,"Aldo Calderón, Edmundo Rivero"
Osváldo Pugliese ; Gustavo Nocetti,Osvaldo Pugliese,Gustavo Nocetti
Alberto Di Paulo ; Instrumental,Alberto Di Paulo,
Armando Cupo ; Roberto Rufino,Armando Cupo,Roberto Rufino
