Interprete,Album,Track,Tema
QUINTETO PIRINCHO,COBIAN-FRESEDO,10,A PAN Y AGUA
FRANCINI-PONTIER,VOLUMEN 4,7,A PEDIDO
FRANCINI-PONTIER,INSTRUMENTAL-1,15,A PEDIDO
FRANCINI-PONTIER,INSTRUMENTAL-1,15,A PEDIDO
FRANCINI-PONTIER,INSTRUMENTAL-1,15,A PEDIDO
ANIBAL TROILO-ROBERTO GRELA,TROILO-GRELA,3,A PEDRO MAFFIA
CUARTETO FEDERICO-GRELA,TANGOS PARA UN PATIO...,2,A PEDRO MAFFIA
LEOPOLDO FEDERICO-ROBERTO GRELA,VOLUMEN 1,14,A PEDRO MAFFIA
LEOPOLDO FEDERICO-ROBERTO GRELA,VOLUMEN 2,12,A PEDRO MAFFIA
TROILO ANIBAL CUARTETO,VOLUMEN 21,15,A PEDRO MAFFIA
TROILO ANIBAL-GRELA ROBERTO,SELLOS TK Y RCA,4,A PEDRO MAFFIA
TROILO ANIBAL-GRELA ROBERTO,VOLUMEN 14,3,A PEDRO MAFFIA
"CANARO, FRANCISCO",ADIOS JUVENTUD 1933,18,A PESAR DE TODO
CANARO FRANCISCO,ALMA PORTEÑA,7,A QUIEN LE PUEDE IMPORTAR
CANARO FRANCISCO,LA ROMPEDORA,1,A QUIEN LE PUEDE IMPORTAR
CANARO FRANSISCO,FRANSISCO CANARO.SUS EXITOS CON ERNESTO FAMA,11,A QUIEN LE PUEDE IMPORTAR
DAGOSTINO ANGEL,EU 16011,7,A QUIEN LE PUEDE IMPORTAR
DAGOSTINO ANGEL,EU 16011,7,A QUIEN LE PUEDE IMPORTAR
DAGOSTINO ANGEL,EU 16011,7,A QUIEN LE PUEDE IMPORTAR
ORQUESTA TIPICA PORTEÑA,SUS ULTIMAS GRABACIONES,7,A QUIEN LE PUEDE IMPORTAR
CUARTETO FEDERICO-GRELA,TANGOS PARA UN PATIO...,12,A SAN TELMO
LEOPOLDO FEDERICO-ROBERTO GRELA,VOLUMEN 1,11,A SAN TELMO
LEOPOLDO FEDERICO-ROBERTO GRELA,VOLUMEN 2,14,A SAN TELMO
"LOMUTO, FRANCISCO","LOMUTO, FRANCISCO COLEC. 78 RPM",2,A SU MEMORIA
FRANCINI--PONTIER,FRANCINI--PONTIER 78 RPM 1946/1949,9,A SU MEMORIA
FRANCINI-PONTIER,VOLUMEN 1,18,A SU MEMORIA
BALCARCE EMILIO,YO SOY MILONGA,13,A SUERTE Y VERDAD
CASTILLO ALBERTO,ALBERTO CASTILLO.SUS PRIMEROS EXITOS VOL 1,9,A SUERTE Y VERDAD
DARIENZO JUAN,CLAVEL,8,A SUERTE Y VERDAD
"RODRIGUEZ, ENRIQUE",SUS PRIMEROS SUCESOS,11,"A TISKET, A TASKET"
"FRESEDO, OSVALDO",DE UN TIEMPO QUE SE FUE,16,A TODO TRAPO
"MAFFIA, PEDRO","EL PENSAMIENTO/MAFFIA,PEDRO1930/1937",22,A TRAVEZ DE LOS AÑOS
VARELA HECTOR,LOS MEJORES INSTRUMENTALES,8,A TRES BANDAS
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,4,A TU MEMORIA MADRECITA
PONTIER ARMANDO,LOS MEJORES INSTRUMENTALES,4,"A TUS PIES, BAILARIN"
DARIENZO JUAN,MILONGA DEL 83,4,A UNA MUJER
"OCAMPO, CARLOS MONTBRUN",PARA CUYO,8,A UNOS OJOS
GIACCONE HUGO,Y SIGO AQUI,1,A UNOS OJOS
OMAR NELLY,TOMAS RADIALES II,17,A UNOS OJOS
TROILO ANIBAL,VOLUMEN 8,9,A UNOS OJOS
FRANCINI-PONTIER,VOLUMEN 2,14,A ZARATE
FRANCINI-PONTIER,PONTIER ARMANDO,7,A ZARATE
FRANCINI-PONTIER,INSTRUMENTAL-1,8,A ZARATE
FRANCINI-PONTIER,INSTRUMENTAL-1,8,A ZARATE
FRANCINI-PONTIER,INSTRUMENTAL-1,8,A ZARATE
CANARO FRANSISCO,FRANSISCO CANARO.SUS EXITOS CON ERNESTO FAMA,6,ABANDONADA
ALONSO OSCAR,EN CARNE PROPIA,19,ABANDONO
GÓMEZ ALBERTO,COL 5008,8,ABANDONO
LAURENZ PEDRO,VOLUMEN 1,4,ABANDONO
LAURENZ PEDRO,FIRULETEAR...,4,ABANDONO
"LAURENZ, PEDRO",COLECCION 78 R.P.M. 1937--1948,4,ABANDONO
SIMONE MERCEDES,ANTIGUOS TEMAS DE COLECCION,13,ABANDONO
DONATO EDGARDO,EL HURACAN,16,ABOMBADA
ORQUESTA TIPICA VICTOR,BAILARIAS,2,ABROJALERA
MAGLIO JUAN,SE VA LA LANCHA,20,ABROJOS
CANARO FRANCISCO,CUARTITO AZUL,22,ACARICIANDO RECUERDOS
FRESEDO OSVALDO,DE PURO GUAPO,21,ACOMODATE
TROILO ANIBAL,VOLUMEN 2,12,ACORDANDOME DE VOS
ORQUESTA TIPICA VICTOR,ACORDATE,1,ACORDATE
DE ANGELIS ALFREDO,ACORDES PORTEÑOS,17,ACORDES PORTEÑOS
"PUGLIESE, OSVALDO",SUS CANTORES DE LOS 50,19,ACQUAFORTE
"DURAN, JORGE",DURAN -- REYES,1,ACQUAFORTE
DI SARLI CARLOS,PRIMERA EPOCA,21,ACUERDATE DE MI
"VIDAL, J.---MORAN, A.",RECORDANDO SUS EXITOS,9,ADIOS
"CALO, MIGUEL","CALO, MIGUEL Y VOCES INVITADAS 1966/67",16,ADIOS
DENIS AIDA,EL TANGO EN LA TV,2,ADIOS
LEIVA SUSY,ANTES DEL ADIOS,7,ADIOS
LEIVA SUSY,MORES MARIANO,13,ADIOS
MARTIN REYNALDO,AQUEL ALEMANCITO,16,ADIOS
STAZO LUIS,LOS 14 DE JULIO DE CARO,10,ADIOS A LA REAL
"MAFFIA, PEDRO","JUVENTUD MAFFIA, PEDRO 1929/1930",12,ADIOS AMIGO
ORQUESTA TIPICA VICTOR,ORQ. TIPICA VICTOR 1927/1934,9,ADIOS ARGENTINA
ORQUESTA TIPICA VICTOR,ACORDATE,21,ADIOS ARGENTINA
"DARIENZO, JUAN",PURO TANGO,3,ADIOS AROLAS
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES VOL.1,5,ADIOS ARRABAL
DAGOSTINO ANGEL,ASI ERA EL TANGO,1,ADIOS ARRABAL
PUGLIESE OSVALDO,VAYAN SALIENDO,10,ADIOS BARDI
TROILO ANIBAL,VOLUMEN 23,17,ADIOS BARDI
ORQUESTA TIPICA VICTOR,ORQ. TIPICA VICTOR 78 RPM 1930/1944,12,ADIOS BUENOS AIRES
VARGAS ANGEL,COL 5011,6,ADIÓS BUENOS AIRES
"VIDAL, JORGE",RECORDANDO SUS EXITOS,1,ADIOS CORAZON
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,1,ADIOS CORAZON
"D ARIENZO, JUAN",SENTIMENTAL,3,ADIOS CORAZON
DEL RIO ALFREDO,COL 5013,14,ADIÓS CORAZÓN
DEL RIO ALFREDO,COL 5013,14,ADIÓS CORAZÓN
DEL RIO ALFREDO,COL 5013,14,ADIÓS CORAZÓN
DEL RIO ALFREDO,COL 5013,14,ADIÓS CORAZÓN
DEL RIO ALFREDO,COL 5013,14,ADIÓS CORAZÓN
DEL RIO ALFREDO,COL 5013,14,ADIÓS CORAZÓN
DI SARLI CARLOS,DI SARLI-FLORIO-DURAN,21,ADIOS CORAZON
GOBBI ALFREDO,VOLUMEN 4,11,ADIOS CORAZON
GOBBI ALFREDO,VOLUMEN 4,13,ADIOS CORAZON
FIRPO ROBERTO,DE VUELTA AL PAGO,4,ADIOS HERMANO
"CANARO, FRANCISCO",ADIOS JUVENTUD 1933,6,ADIOS JUVENTUD
"DE ANGELIS, ALFREDO","LOS DUOS DE MARTEL, J.--DANTE, C.",3,ADIOS MARINERO
FRANCINI--PONTIER,FRANCINI--PONTIER 78 RPM 1946/1949,8,ADIOS MARINERO
FRANCINI-PONTIER,VOLUMEN 1,16,ADIOS MARINERO
"FRESEDO, OSVALDO",DE UN TIEMPO QUE PASO,1,ADIOS MUCHACHOS
"LOMUTO, FRANCISCO","LOMUTO, FRANCISCO COLEC. 78 RPM",13,ADIOS MUCHACHOS
CANARO FRANSISCO,FRANSISCO CANARO.ROBERTO MAIDA CANTA SUS EXITOS,7,ADIOS MUCHACHOS
CARLOS GARDEL,GARDEL-DE ANGELIS,10,ADIOS MUCHACHOS
COBIAN JUAN CARLOS,SHUSHETA,5,ADIOS MUCHACHOS
CORSINI IGNACIO,EL TROVADOR,5,ADIOS MUCHACHOS
DEL CARRIL HUGO,TANGOS FAMOSOS,17,ADIOS MUCHACHOS
DEMARIA CARLOS,BRINDIS DE TANGO,12,ADIOS MUCHACHOS
ORQUESTA TIPICA VICTOR,ORQ. TIPICA VICTOR 1927/1934,2,ADIOS MUCHACHOS
ORQUESTA TIPICA VICTOR,ACORDATE,8,ADIOS MUCHACHOS
RACCIATTI DONATO,LINDO TIEMPO...,3,ADIOS MUCHACHOS
RODRIGUEZ ENRIQUE,ESTE ES TU TANGO,9,ADIOS MUCHACHOS
SALAMANCA FULVIO,TODO CORAZON,13,ADIOS MUCHACHOS
"SALAMANCA, FULVIO",TODO CORAZON (1964/1967),13,ADIOS MUCHACHOS
FRANCINI-PONTIER,HOMENAJE II,19,ADIOS NONINO
FRANCINI-PONTIER,GRAN ENCUENTRO,6,ADIOS NONINO
MARTIN REYNALDO,AQUEL ALEMANCITO,6,ADIOS NONINO
PIAZZOLLA ASTOR QUINTETO,VOLUMEN II,16,ADIOS NONINO
PIAZZOLLA ASTOR QUINTETO,COL 5016,5,ADIÓS NONINO
PIAZZOLLA ASTOR QUINTETO,COL 5016,5,ADIÓS NONINO
PIAZZOLLA ASTOR QUINTETO,COL 5016,5,ADIÓS NONINO
TROILO ANIBAL,VOLUMEN 20,14,ADIOS NONINO
BASSO JOSÉ,COL 5023,8,ADIÓS PAMPA MÍA
BASSO JOSÉ,COL 5023,8,ADIÓS PAMPA MÍA
BASSO JOSÉ,COL 5023,8,ADIÓS PAMPA MÍA
"CALO, MIGUEL","CALO, MIGUEL Y VOCES INVITADAS 1966/67",12,ADIOS PAMPA MIA
CANARO FRANCISCO,MIS AMIGOS DE AYER,10,ADIOS PAMPA MIA
CANARO FRANSISCO,FRANSISCO CANARO.CANTA ALBERTO ARENAS,11,ADIOS PAMPA MIA
CANARO FRANSISCO,FRANSISCO CANARO.TE ACORDAS HERMANO?,19,ADIOS PAMPA MIA
CASTIILLO ALBERTO,ALBERTO CASTILLO.DE MI BARRIO,9,ADIOS PAMPA MIA
"D ARIENZO, JUAN",SENTIMENTAL,8,ADIOS PAMPA MIA
DARIENZO JUAN,DJ-TANGO,6,ADIOS PAMPA MIA
DARIENZO JUAN,TANGOS FAMOSOS,16,ADIOS PAMPA MIA
FLORIO ROBERTO,COL 5004,20,ADIÓS PAMPA MÍA
"TROILO, ANIBAL",VOLUMEN 6,8,ADIOS PAMPA MIA
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES VOL.1,10,ADIOS PARA SIEMPRE
FRESEDO OSVALDO,NIEBLA DEL RIACHUELO,10,ADIOS PARA SIEMPRE
"FRESEDO, OSVALDO",TIGRE VIEJO COLEC. 78 RPM 1933 - 1948 -,4,ADIOS PARA SIEMPRE
RODRIGUEZ ENRIQUE,MOTIVO SENTIMENTAL,7,ADIOS PARA SIEMPRE
FIGARI CARLOS,FIGARI-DO REYES,7,ADIOS PARIS
FIGARI CARLOS,FIGARI-DO REYES,7,ADIOS PARIS
"RODRIGUEZ, ENRIQUE",TEMAS INOLVIDABLES,2,ADIOS PILAR
"ROSSI, RAFAEL","VALSES, RANCHERAS Y PASODOBLES",16,ADIOS PILAR ----EL BESO DEL SODADO---
DE CARO JULIO,BARDI AGUSTIN,1,ADIOS PUEBLO
TANTURI RICARDO,A BAILAR,14,ADIOS PUEBLO
TANTURI RICARDO,UNA EMOCION,9,ADIOS PUEBLO
"DE ANGELIS, ALFREDO",CANTAN C. DANTE Y O. LARROCA,17,ADIOS QUERIDA
BIAGI RODOLFO,TANGO Y MILONGA,25,ADIOS TE VAS
"DI SARLI, CARLOS",COLECC. 78 RPM 1940 - 1943,20,ADIOS TE VAS
"DE ANGELIS, ALFREDO",CANTAN C. DANTE Y O. LARROCA,18,"ADIOS, ADIOS"
GÓMEZ ALBERTO,COL 5008,6,"ADIÓS, ADIÓS"
"PEDEVILLA, RICARDO",A BAILARLO (1950 -- 1953),24,"ADIOS, ADIOS"
RODRIGUEZ ENRIQUE,TANGOS Y RITMOS,12,"ADIOS, ADIOS AMOR"
GARCIA JOSE,LOS ZORROS GRISES,6,"ADIOS, ADIOS CORAZON"
GARCIA JOSE Y LOS ZORROS GRISES,TU SILENCIO,6,"ADIOS, ADIOS CORAZON"
BIAGI RODOLFO,"RODOLFO BIAGGI.SUS EXITOS CON DUVAL,HEREDIA",7,ADORACION
GOBBI ALFREDO,VOLUMEN 1,6,ADORACION
"MAGLIO, JUAN (PACHO)",SABADO INGLES,19,ADORACION
"MAGLIO, JUAN (PACHO)",SABADO INGLES,8,ADORACION
CARUSO CARLOS E.,VOLUMEN 3,8,AFICHES
MIERES FERNANDO,NOSTALGIAS SIGLO XX,4,AFICHES
CANARO FRANCISCO,BAR EXPOSICION,11,AGUA BENDITA
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES,6,AGUA FLORIDA
DAGOSTINO ANGEL,ASI ERA EL TANGO,6,AGUA FLORIDA
CAMBARERI JUAN CUARTETO,AIETA-MARTINEZ,9,AGUANTALO SI PODES
GARCIA JOSE,LOS ZORROS GRISES,18,AGUANTALO SI PODES
VARELA HECTOR,LOS MEJORES INSTRUMENTALES,11,AGUANTALO SI PODES
"DE ANGELIS, ALFREDO",CANTAN C. DANTE Y O. LARROCA,8,AGUANTATE CASIMIRO
GOYENECHE ROBERTO,PRIMERAS GRABACIONES,16,AGUANTATE CASIMIRO
TROILO ANIBAL,VOLUMEN 15,22,AGUANTATE CASIMIRO
"ROTUNDO, FRANCISCO","ROTUNDO, PARA RECORDARLO",3,AGUELITA QUE HORA SON
"D ARIENZO, JUAN",COMPADRON 1940/1944,17,AGUILUCHO
DARIENZO JUAN,EU 16009,2,AHI ESTA
DARIENZO JUAN,EU 16009,2,AHI ESTA
DARIENZO JUAN,EU 16009,2,AHI ESTA
ASTOR PIAZZOLLA Y SU ORQUESTA TIPICA,SU PRIMERA ORQUESTA,14,AHI VA EL DULCE
BASSO JOSE,JOSE BASSO.SUS EXITOS CON FLOREAL RUIZ,20,AHI VA EL DULCE
BASSO JOSE,LOS MEJORES INSTRUMENTALES,11,AHI VA EL DULCE
BASSO JOSE,INSTRUMENTALES-1,14,AHI VA EL DULCE
CANARO JUAN,ESTIRPE DE TANGO,8,AHI VA EL DULCE
CANARO JUAN,AHI VA EL DULCE,20,AHI VA EL DULCE
CANARO JUAN Y MARIO,ESTIRPE DE TANGO,16,AHI VA EL DULCE
DEL PIANO EDUARDO,BUSTOS-DE ROSAS,7,AHI VA EL DULCE
"DEL PIANO, EDUARDO","DEL PIANO, EDUARDO (1951/1980)",10,AHI VA EL DULCE
MADERNA OSMAR,LOS MEJORES INSTRUMENTALES,20,AHI VA EL DULCE
"MADERNA, OSMAR","MADERNA, OSMAR VOL.3",14,AHI VA EL DULCE
PIAZZOLLA ASTOR,1945/1951,16,AHI VA EL DULCE
"PUGLIESE, OSVALDO",SUS EXITOS CON ALBERTO MORAN VOL. 2,3,AHORA NO ME CONOCES
BALIOTTI ARMANDO SEXTETO,BALIOTTI-KAPLUN,3,AHORA NO ME CONOCES
BIAGI RODOLFO,PINTA ORILLERA,25,AHORA NO ME CONOCES
DAGOSTINO ANGEL,ASI ERA EL TANGO,2,AHORA NO ME CONOCES
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES VOL. 1,4,AHORA NO ME CONOCES
LOS ASES DEL TANGO,MARCHESE-SAN MIGUEL,11,AHORA NO ME CONOCES
MAURÉ HÉCTOR,VOLUMEN 1,24,AHORA NO ME CONOCÉS
SAN ROMAN SIRO,CADA VEZ QUE...,10,AHORA NO ME CONOCES
ORQUESTA TIPICA VICTOR,BAILARIAS,4,AHORA SOY CASADO
CASTILLO ALBERTO,ALBERTO CASTILLO.SUS PRIMEROS EXITOS VOL 2,15,AHORA TENGO UN AMOR
"BUZON, MANUEL","BUZON, MANUEL",9,AL CERRAR LOS OJOS
STAZO LUIS,LOS 14 DE JULIO DE CARO,14,AL BUENOS AIRES QUE SE FUE
DE ANGELIS ALFREDO,AL COLORADO...,11,AL COLORADO DE BANFIELD
"MADERNA, OSMAR","MADERNA, OSMAR VOL. 03 (1949/1951)",8,AL COMPAS DE TUS MENTIRAS
DEMARE LUCIO,VOLUMEN 1,9,AL COMPAS DE UN TANGO
"DEMARE, LUCIO",AL COMPAS DE UN TANGO 1938/1942,8,AL COMPAS DE UN TANGO
CALO MIGUEL,MIGUEL CALO.AL COMPAS DEL CORAZON,1,AL COMPAS DEL CORAZON
CALO MIGUEL,(1942-1963),1,AL COMPAS DEL CORAZON
CALÓ MIGUEL,COL 5003,21,AL COMPÁS DEL CORAZÓN
CALÓ MIGUEL,COL 5006,15,AL COMPÁS DEL CORAZÓN
CALÓ MIGUEL,COL 5022,14,AL COMPÁS DEL CORAZÓN
CALÓ MIGUEL,COL 5022,14,AL COMPÁS DEL CORAZÓN
CALÓ MIGUEL,COL 5022,14,AL COMPÁS DEL CORAZÓN
DEL CARRIL HUGO,POEMAS Y GLOSAS,17,AL COMPAS DEL CORAZON
DI SARLI CARLOS,NIDO GAUCHO,1,AL COMPAS DEL CORAZON
"DI SARLI, CARLOS",DI SARLI --- PODESTA -VOL 2 -,4,AL COMPAS DEL CORAZON
"FEDERICO, DOMINGO",YUYO VERDE (1944/1948),18,AL COMPAS DEL CORAZON
BALCARCE EMILIO,YO SOY MILONGA,19,AL FINAL EN EL CAFE
CASTILLO ALBERTO,ALBERTO CASTILLO.SUS PRIMEROS EXITOS VOL1,2,AL FINAL...EN EL CAFE
"DE ANGELIS, ALFREDO","EXITOS CON GODOY, FLORIO Y MARTEL",18,AL MUNDO LE FALTA UN TORNILLO
DEMARE LUCIO,VOLUMEN 2,19,AL PASAR
DEMARE LUCIO,DAN 404,7,AL PASAR
"DEMARE, LUCIO",COMO SE HACE UN TANGO 1943,17,AL PASAR
ROTUNDO FRANCISCO,RADIALES INEDITAS,7,AL PIE DE LA SANTA CRUZ
LOS CUATRO DEL TANGO,COL 5015,4,AL PIE DE TU REJA
LOS CUATRO DEL TANGO,COL 5015,4,AL PIE DE TU REJA
LOS CUATRO DEL TANGO,COL 5015,4,AL PIE DE TU REJA
"SALAMANCA, FULVIO",DIBUJOS EN 2 X 4,10,AL SEPARARNOS
CANARO FRANCISCO,CUARTITO AZUL,1,AL SON DEL ACORDEON
BELUSI ALFREDO,SUEÑO MALEVO,18,AL VERLA PASAR
BUZON MANUEL,VOLUMEN 2,2,AL VERLA PASAR
"BUZON, MANUEL","BUZON, MANUEL",1,AL VERLA PASAR
LAURENZ PEDRO,VOLUMEN 1,20,AL VERLA PASAR
LAURENZ PEDRO,FIRULETEAR...,16,AL VERLA PASAR
"LAURENZ, PEDRO",COLECCION 78 R.P.M. 1937---1943,14,AL VERLA PASAR
"VIDAL, JORGE",RECORDANDO SUS EXITOS,2,AL VERLA PASAR
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES VOL.3,10,AL VOLVERTE A VER
FRESEDO OSVALDO,TANGO MIO,19,ALAS
DE ANGELIS ALFREDO,AL COLORADO...,20,ALAS AZULES
"CARABELLI, ADOLFO",ADOLFO CARABELLI 1927-1935,24,ALEGRIA DE PANDERETAS
14 CON EL TANGO,POETAS-PINTORES-MUSICOS,1,ALEJANDRA
"MADERNA, OSMAR","MADERNA, OSMAR VOL.02 (1947/1949)",2,ALELI
CANARO FRANCISCO,DESTELLOS,21,ALELUYA
FRANCINI--PONTIER,FRANCINI--PONTIER 78 RPM 1946/1949,23,ALERGIA
FRANCINI-PONTIER,VOLUMEN 3,6,ALERGIA
PIAZZOLLA ASTOR,VOLUMEN II,8,ALEVARE
QUINTETO PIRINCHO,ESTIRPE DE TANGO,6,ALFREDO
"ARTOLA, HECTOR MARIA",HALCON NEGRO 1937/1962,16,ALGUIEN
PIAZZOLLA ASTOR QUINTETO,VOLUMEN II,12,ALGUIEN LE DICE AL TANGO
CANARO FRANSISCO,FRANSISCO CANARO.SUS EXITOS CON ERNESTO FAMA,13,ALGUN DIA TE DIRE
"FRESEDO, OSVALDO",APASIONADO,14,ALGUN DIA VOLVERAS
DEMARE LUCIO,VOLUMEN 3,14,ALHUCEMA
DEMARE LUCIO,NEGRO EL 20 1944-1951,7,ALHUCEMA
"TROILO, ANIBAL",VOLUMEN 5,2,ALHUCEMA
BUZON MANUEL,AROLAS EDUARDO,9,ALICE
"BUZON, MANUEL","BUZON, MANUEL",6,ALICE
"DURAN, JORGE",DURAN -- REYES,12,ALICIA
CANARO FRANSISCO,FRANSISCO CANARO.20 EXITOS,15,ALLELUYA
"CARABELLI, ADOLFO",INSPIRACION (1931/1934),14,ALMA
GÓMEZ ALBERTO,COL 5008,12,ALMA
ORQUESTA TIPICA VICTOR,SUS PRIMERAS GRABACIONES,10,ALMA
"SALGAN, HORACIO",SILBANDO,12,ALMA CORAZON Y VIDA
CANARO FRANSISCO,FRANSISCO CANARO.CANTA ROBERTO MAIDA VOL 2,1,ALMA DE BANDONEON
CANARO RAFAEL,VIEJO GAUCHO,6,ALMA DE BANDONEON
LOMUTO FRANCISCO,QUE TIEMPO AQUEL,8,ALMA DE BANDONEON
ORQUESTA TÍPICA VÍCTOR,AUT 6003,2,ALMA DE BANDONEÓN
"MONTERO, MIGUEL",SUS MAS GRANDES CREACIONES,7,ALMA DE BOHEMIO
"MORES, MARIANO",GRANDES EXITOS,13,ALMA DE BOHEMIO
BIAGI RODOLFO,PURA CLASE,10,ALMA DE BOHEMIO
CASTILLO ALBERTO,ALBERTO CASTILLO.SUS PRIMEROS EXITOS VOL 2,16,ALMA DE BOHEMIO
DE ANGELIS ALFREDO,AL COLORADO...,12,ALMA DE BOHEMIO
FRANCINI-PONTIER,VOLUMEN 1,11,ALMA DE BOHEMIO
FRANCINI-PONTIER,VOLUMEN 2,6,ALMA DE BOHEMIO
LAURENZ PEDRO,PATRIA MIA,1,ALMA DE BOHEMIO
LAURENZ PEDRO,VOLUMEN 2,11,ALMA DE BOHEMIO
"LAURENZ, PEDRO",CREACIONES INOLVIDABLES CON PODESTA Y BERMUDEZ,1,ALMA DE BOHEMIO
LOS TUBATANGO,UNA NOCHE DE GARUFA,3,ALMA DE BOHEMIO
ORQUESTA TIPICA VICTOR,ORQ. TIPICA VICTOR 1927/1934,7,ALMA DE BOHEMIO
ORQUESTA TIPICA VICTOR,ACORDATE,14,ALMA DE BOHEMIO
PUGLIESE OSVALDO,FIRPO ROBERTO,19,ALMA DE BOHEMIO
QUINTETO PIRINCHO,TANGOS DEL TIEMPO VIEJO,18,ALMA DE BOHEMIO
TROILO ANIBAL,VOLUMEN 19,16,ALMA DE BOHEMIO
"PETRUCELLI, LUIS","PETRUCELLI, LUIS (1928/1931)",6,ALMA DE CHORRO
"RODRIGUEZ, ENRIQUE",TEMAS INOLVIDABLES,1,ALMA DE DIOS
CORDÓ OSVALDO,COL 5007,1,ALMA DE LOCA
GOYENECHE ROBERTO,PRIMERAS GRABACIONES,1,ALMA DE LOCA
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,4,ALMA EN PENA
AIETA ANSELMO QUINTETO,DOS ESTILOS EN BANDONEON,1,ALMA EN PENA
ANSELMO AIETA Y SU QUINTETO,LOS MEJORES INSTRUMENTALES,16,ALMA EN PENA
CANARO RAFAEL,VIEJO GAUCHO,1,ALMA EN PENA
CARLOS GARDEL,GARDEL-DE ANGELIS,8,ALMA EN PENA
LOS ASTROS DEL TANGO,VOL. 2,18,ALMA EN PENA
QUINTETO DON PANCHO,INSTRUMENTALES-2,18,ALMA EN PENA
QUINTETO DON PANCHO,AIETA-MARTINEZ,1,ALMA EN PENA
QUINTETO DON PANCHO,ZORRO GRIS,10,ALMA EN PENA
VARGAS ANGEL,EL RUISEÑOR DE BUENOS AIRES,16,ALMA EN PENA
"DI SARLI, CARLOS",COLECC. 78 RPM 1940 - 1943,2,ALMA MIA
"VALENTINO, ENZO",EN EL OLVIDO,16,ALMA MIA
"FIRPO, ROBERTO",TANGOS Y VALSECITOS VOL. 2,12,ALMA POETICA
CANARO FRANCISCO,ALMA PORTEÑA,24,ALMA PORTEÑA
MAGLIO JUAN,SE VA LA LANCHA,19,ALMA TRISTE
ACUÑA CARLOS,COL 5007,16,ALMAGRO
CARLOS GARDEL,GARDEL-DE ANGELIS,15,ALMAGRO
PUGLIESE OSVALDO,VIVO TEATRO COLON,8,ALMAGRO
DARIENZO JUAN,MILONGA DEL 83,17,ALMANAQUE DE ILUSION
DE ANGELIS ALFREDO,ACORDES PORTEÑOS,20,ALTAR SIN LUZ
CORSINI IGNACIO,EL TROVADOR,13,ALZAME EN TUS BRAZOS
DI SARLI CARLOS,NIDO GAUCHO,2,ALZAME EN TUS BRAZOS
"DI SARLI, CARLOS",DI SARLI --- PODESTA VOL. 2,10,ALZAME EN TUS BRAZOS
TROILO ANIBAL,VOLUMEN 22,12,AMANECE
SAN ROMAN SIRO,CADA VEZ QUE...,17,AMANECI EN TUS BRAZOS
CANARO JUAN,AHI VA EL DULCE,19,AMANTE CORAZON
"FRESEDO, OSVALDO",MILONGUERO VIEJO,10,AMAR HASTA MORIR
"D ARIENZO, JUAN",B. BELGRANO -- MAS GRANDE QUE NUNCA,18,"AMAR, PARA QUE"
"MAURE, HECTOR",SUS GRANDES EXITOS,2,AMARGURA
BALCARCE EMILIO,YO SOY MILONGA,12,AMARRAS
CASTILLO ALBERTO,ALBERTO CASTILLO.RECUERDO,1,AMARRAS
"D ARIENZO, JUAN",COMPADRON 1940/1944,20,AMARRAS
DARIENZO JUAN,DAN 402,5,AMARRAS
DE ANGELIS ALFREDO,LOS MEJORES INSTRUMENTALES,16,AMARRETE
CUARTETO DEL 900,VARIOS INTERPRETES 78 RPM 1933/1944,4,AMELIA
"OCAMPO, CARLOS MONTBRUN",PARA CUYO,5,AMEMONOS
GOBBI ALFREDO,VOLUMEN 1,7,AMEMONOS
"PUGLIESE, OSVALDO",EL ESLABON PERDIDO,4,AMIGAZO
BELUSI ALFREDO,SUEÑO MALEVO,2,AMIGAZO
DARIENZO JUAN,YO ME PRESENTO AQUI,21,AMIGAZO
DEL PIANO EDUARDO,DEL BUENOS AIRES DE AYER,17,AMIGAZO
"FIORENTINO, FRANCISCO",SU DISCOGRAFIA JUNTOS,14,AMIGAZO
PUGLIESE OSVALDO,EL ESLABON PERDIDO,6,AMIGAZO
PUGLIESE OSVALDO,EL ESLABON PERDIDO,6,AMIGAZO
PUGLIESE OSVALDO,EL ESLABON PERDIDO,6,AMIGAZO
TROILO ANIBAL,VOLUMEN 10,5,AMIGAZO
"TROILO, ANIBAL",TECLEANDO VOL. 02,5,AMIGAZO
VARGAS ANGEL,COL 5011,17,AMIGAZO
"D ARIENZO, JUAN",SENTIMENTAL,20,AMIGO BANDONEON
TANTURI RICARDO,LOS MEJORES INSTRUMENTALES,16,AMIGOS PRESENTE
CASTILLO ALBERTO,ALBERTO CASTILLO.TANGOS Y VALSES,14,AMIGOS Y MUJERES
ALONSO OSCAR,EN CARNE PROPIA,21,AMIGOS... !NO!
"FRESEDO, OSVALDO",VUELVES 1937/1939,9,AMOR
CANARO FRANCISCO,RINCON FLORIDO,6,AMOR
CANARO FRANSISCO,FRANSISCO CANARO.ROBERTO MAIDA CANTA SUS EXITOS,18,AMOR
