Lamour,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,15,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/15 - Lamour.mp3
Spij Kochany Spij,Kayah  Goran Bregovic,1999,World,Kayah & Bregovic,01,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Kayah & Bregovic/01 - Spij Kochany Spij.mp3
To Nie Ptak,Kayah  Goran Bregovic,1999,World,Kayah & Bregovic,02,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Kayah & Bregovic/02 - To Nie Ptak.mp3
100 Lat Mlodej Parze,Kayah  Goran Bregovic,1999,World,Kayah & Bregovic,03,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Kayah & Bregovic/03 - 100 Lat Mlodej Parz.mp3
Bylam Roza,Kayah  Goran Bregovic,1999,World,Kayah & Bregovic,04,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Kayah & Bregovic/04 - Bylam Roza.mp3
Tudno Kochac,Kayah  Goran Bregovic,1999,World,Kayah & Bregovic,05,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Kayah & Bregovic/05 - Tudno Kochac.mp3
Prawy Do Lewego,Kayah  Goran Bregovic,1999,World,Kayah & Bregovic,06,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Kayah & Bregovic/06 - Prawy Do Lewego.mp3
Tabakiera,Kayah  Goran Bregovic,1999,World,Kayah & Bregovic,07,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Kayah & Bregovic/07 - Tabakiera.mp3
Caje Sukarije,Kayah  Goran Bregovic,1999,World,Kayah & Bregovic,08,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Kayah & Bregovic/08 - Caje Sukarije.mp3
Jesli Bog Istnieje,Kayah  Goran Bregovic,1999,World,Kayah & Bregovic,09,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Kayah & Bregovic/09 - Jesli Bog Istnieje.mp3
Nie Ma  Nie Ma Ciebie,Kayah  Goran Bregovic,1999,World,Kayah & Bregovic,10,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Kayah & Bregovic/10 - Nie Ma, Nie Ma Ciebie.mp3
Elo Hi (Canto Nero),Goran Bregovic,1994,Soundtrack,La Reine Margot,1,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/01 - Elo Hi (Canto Nero).mp3
Rondinella,Goran Bregovic,1994,Soundtrack,La Reine Margot,2,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/02 - Rondinella.mp3
La Nuit De La Saint Barthélémy,Goran Bregovic,1994,Soundtrack,La Reine Margot,3,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/03 - La Nuit De La Saint Barthélémy.mp3
Le Matin,Goran Bregovic,1994,Soundtrack,La Reine Margot,4,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/04 - Le Matin.mp3
Lullaby,Goran Bregovic,1994,Soundtrack,La Reine Margot,5,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/05 - Lullaby.mp3
