Tango,"Aníbal Troilo, voc. Francisco Fiorentino",Cautivo,1941
Tango,"Carlos Di Sarli, voc. Alberto Podestá",Cero al as,1944
Tango,,Champagne tango,
Tango,Juan D'Arienzo,Champagne tango,1938
Tango,Carlos Di Sarli,Champagne tango,1944
Tango,Carlos Di Sarli,Champagne tango,1944
Tango,"Juan D'Arienzo, voc. Alberto Echagüe",Chamusquina / Nada,1956
Tango,"Francisco Canaro, voc. Charlo",Chanta cuatro,1928
Tango,Quinteto Pirincho,Charamusca,2-06
Tango,Miguel Caló,Charamusca,1950
Tango,Ricardo Malerba,Charamusca,1943
Tango,Juan D'Arienzo,Charamusca,1965
Tango,Juan D'Arienzo,Charamusca,1939
Tango,Juan D’Arienzo,Charamusca,1939
Tango,"Domingo Federico, voc. Dante Rossi",Charlemos,1956
Tango,"Carlos Di Sarli, voc. Roberto Rufino",Charlemos...,1941
Tango,", voc. Ernesto Famá",Chau Pinela,1930
Tango,"Miguel Caló, voc. Ricardo Blanco",Che bandoneón,1950
Tango,"Juan D'Arienzo, voc. Alberto Echagüe","Ché, existencialista",1954
Tango,"Juan D'Arienzo, voc. Alberto Echagüe","Che, existencialista",1954
Tango,Astor Piazzolla,Chiclana,1947
Tango,", voc. Mario Pomar",Chimentos,1954
Milonga,"Domingo Federico, voc. Enzo Valentino",China de la mazorca,1949
Tango,Francisco Canaro,Chola,1932
Tango,Orquesta Típica Victor,Chorra,1928
Tango,"Francisco Canaro, voc. Ernesto Famá",Churrasca,1934
Tango,Osvaldo Pugliese,Chuzas,1949
Tango,Alfredo Gobbi,Chuzas,1949
Tango,", voc. Santiago Devin (Devincenzi)",Cicatrices,1930
Tango,"Rodolfo Biagi, voc. Andrés Falgás",Cicatrices,1940
Tango,"Osvaldo Fresedo, voc. Ricardo Ruiz",Cielito mío,1939
Milonga,"Miguel Caló, voc. Roberto Arrieta",Cimarrón de ausencia,1945
Milonga,"Aníbal Troilo, voc. Alberto Marino y Floreal Ruiz",Cimarrón de ausencia,1945
Tango,"Juan D'Arienzo, voc. Héctor Mauré",Claudinette,1942
Tango,"Juan D'Arienzo, voc. Héctor Mauré",Claudinette,1942
Tango,", voc. Oscar Serpa",Clavel del aire,
Tango,Francisco Canaro,Clavelito,1927
Vals,"Francisco Canaro, voc. Ernesto Famá",Clyde,1932
Tango,"Osvaldo Pugliese, voc. Alberto Morán",Cobardía,1950
Tango,Domingo Federico,Coco,1953
Tango,"Osvaldo Fresedo, voc. Roberto Ray",Colibriyo,1933
Tango,Julio De Caro,Colombina,1926
Tango,Aníbal Troilo,Color de rosa,1945
Tango,Domingo Federico,Colorado el 32,1948
Tango,"Aníbal Troilo, voc. Francisco Fiorentino",Colorao colorao,1942
Tango,"Aníbal Troilo, voc. Francisco Fiorentino",Colorao colorao,1942
Tango,"Francisco Canaro, voc. Charlo",Comadre,1929
Tango,Aníbal Troilo,Comme il faut,1938
Tango,Juan D'Arienzo,Comme il faut,1936
Tango,,Comme il faut,
Tango,"Francisco Lomuto, voc. Fernando Díaz",Como abrazado a un rencor,1941
Tango,"Ricardo Tanturi, voc. Roberto Videla",Como aquella muñeca,1946
Tango,"Pedro Laurenz, voc. Juan Carlos Casas",Como dos extraños,1940
Tango,"Rodolfo Biagi, voc. Alberto Amor",Como el hornero,1944
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Como el hornero,1944
Tango,"Francisco Lomuto, voc. Fernando Díaz",Como las aves,1939
Vals,"Alfredo Gobbi, voc. Jorge Maciel y Héctor Coral",Como las margaritas,1952
Tango,"Francisco Lomuto, voc. Fernando Díaz",Como los nardos en flor,1930
Tango,,Como los nardos en flor,
Tango,"Carlos Di Sarli, voc. Roberto Rufino",Como se hace un tango,1943
Tango,"Edgardo Donato, voc. Carlos Almada",Cómo se pianta la vida,1950
Tango,"Ricardo Tanturi, voc. Alberto Castillo",Cómo se pianta la vida,1942
Tango,"Juan D'Arienzo, voc. Alberto Echagüe",Como una de tantas,1955
Milonga,"Ángel D'Agostino, voc. Ángel Vargas",Compadreando,1941
Tango,"Juan D'Arienzo, voc. Héctor Mauré",Compadrón,1942
Tango,Ricardo Tanturi,Comparsa criolla,1941
Tango,Ricardo Tanturi,Comparsa criolla,1941
Tango,"Domingo Federico, voc. Oscar Larroca",Con alma de tango,1946
Milonga,", voc. Oscar Serpa",Con alma y vida,
Milonga,"Carlos Di Sarli, voc. Jorge Durán",Con alma y vida,1945
Tango,Domingo Federico,Con el mayor gusto,1949
Vals,"Ricardo Tanturi, voc. Alberto Castillo",Con los amigos / A mi madre,1943
Milonga,"Rodolfo Biagi, voc. Alberto Amor",Con mi perro,1946
