A los amigos,T0370163317,tango,Quinteto Ángel,-,2004,02:40
A los amigos,T0370163317,tango,Sexteto Mayor,-,,04:40
A los amigos,T0370163317,tango,Color Tango,-,1996,02:30
A los amigos,T0370163317,tango,Ensemble Hyperion,-,2007-03,02:23
A los amigos,T0370163317,tango,Orquesta Típica Tokio,Ranko Fujisawa,,03:49
"A los amigos, La vi llegar (Francini-Pontier, Orquesta Típica)",Z0999901139,tango,Argentino Galván,,1958,01:50
A los artistas plásticos,T0371281478,tango,Osvaldo Pugliese,-,1965,03:16
A los holgazanes,,?,,,,05:21
A los mios,T0372287325,tango,Orquesta El Arranque,,,03:20
A los obreros gráficos,T0373991991,tango,Color Tango,-,2005-03--07,03:38
A los que se fueron,T0373033169,tango,Orquesta Típica Fernández Fierro,-,,03:52
A los trios milongueros,T0372816620,tango,Color Tango,-,2003,04:18
A Magaldi,T0370110590,vals,Alfredo De Angelis,"Carlos Dante, Julio Martel",1947-10-21,02:53
A Magaldi,T0370110590,vals,,,,
A mano limpia,Z0000525146,tango,Francisco Canaro,-,1940-04-16,02:54
A María Rosa,T0370316781,tango,Domingo Federico,-,1954-02-11,02:26
A Martín Fierro,Z0000061317,tango,Domingo Federico,,1945-02-22,02:36
A Martín Fierro,Z0000061317,tango,Leopoldo Federico,-,,02:53
A Martín Fierro,Z0000061317,tango,Miguel Caló,-,1943-03-18,02:44
A mate y marroco,Z0999902185,tango,Francisco Canaro,-,1931-03-25,03:26
A media luz,,?,,,,02:11
A media luz,T0370001038,tango,,Alberto Castillo,,01:55
A media luz,T0370001038,tango,,Carlos Gardel,,02:02
A media luz,T0370001038,tango,,Enzo Valentino,,02:34
A media luz,T0370001038,tango,,Libertad Lamarque,,02:32
A media luz,T0370001038,tango,,Mercedes Simone,,02:53
A media luz,T0370001038,tango,,Mercedes Simone,1932,
A media luz,T0370001038,tango,,Mercedes Simone,1942,
A media luz,T0370001038,tango,,Hugo del Carril,,02:18
A media luz,T0370001038,tango,,Hugo del Carril,1934--1968,02:12
A media luz,T0370001038,tango,,Hugo del Carril,1946,
A media luz,T0370001038,tango,,Hugo del Carril,1968,
A media luz,T0370001038,?,,,,
A media luz,T0370001038,tango,Adalbert Lutter,-,1934-11-15,03:33
A media luz,T0370001038,tango,,,,
A media luz,T0370001038,tango,Agesilao Ferrazzano,-,1927-02-05,03:15
A media luz,T0370001038,tango,,-,,02:50
A media luz,T0370001038,tango,Alfredo De Angelis,-,,
A media luz,T0370001038,tango,Alfredo De Angelis,-,1956-08-16,02:30
A media luz,T0370001038,tango,Alfredo De Angelis,-,1958-12-16,02:27
A media luz,T0370001038,tango,Alfredo J. Gobbi,-,1955-06-30,02:07
A media luz,T0370001038,tango,Aníbal Troilo,,,
A media luz,T0370001038,tango,Alberto Di Paulo,,,
A media luz,T0370001038,tango,Atilio Stampone,-,,02:22
A media luz,T0370001038,tango,Astor Piazzolla,-,,02:24
A media luz,T0370001038,tango,Carlos García,-,,02:55
A media luz,T0370001038,tango,,Libertad Lamarque,1963,02:33
A media luz,T0370001038,tango,,-,,02:31
A media luz,T0370001038,tango,,,1927,03:22
A media luz,T0370001038,tango,Domingo Marafioti,-,1954-05-04,02:38
